[0326/203430.129:ERROR:process_reader_win.cc(123)] NtOpenThread: {无法访问} 过程已请求访问一对象，但未给访问权限。 (0xc0000022)
[0326/203430.130:ERROR:exception_snapshot_win.cc(98)] thread ID 3004 not found in process
[0326/203603.587:ERROR:process_reader_win.cc(123)] NtOpenThread: {无法访问} 过程已请求访问一对象，但未给访问权限。 (0xc0000022)
[0326/203603.587:ERROR:exception_snapshot_win.cc(98)] thread ID 3132 not found in process
[0327/233959.851:ERROR:process_reader_win.cc(123)] NtOpenThread: {无法访问} 过程已请求访问一对象，但未给访问权限。 (0xc0000022)
[0327/233959.852:ERROR:exception_snapshot_win.cc(98)] thread ID 9464 not found in process
[0327/233959.877:ERROR:process_reader_win.cc(123)] NtOpenThread: {无法访问} 过程已请求访问一对象，但未给访问权限。 (0xc0000022)
[0327/233959.878:ERROR:exception_snapshot_win.cc(98)] thread ID 10756 not found in process
[0327/234802.631:ERROR:process_reader_win.cc(123)] NtOpenThread: {无法访问} 过程已请求访问一对象，但未给访问权限。 (0xc0000022)
[0327/234802.631:ERROR:exception_snapshot_win.cc(98)] thread ID 12412 not found in process
[0327/234802.647:ERROR:process_reader_win.cc(123)] NtOpenThread: {无法访问} 过程已请求访问一对象，但未给访问权限。 (0xc0000022)
[0327/234802.647:ERROR:exception_snapshot_win.cc(98)] thread ID 12380 not found in process
[0328/000949.801:ERROR:process_reader_win.cc(123)] NtOpenThread: {无法访问} 过程已请求访问一对象，但未给访问权限。 (0xc0000022)
[0328/000949.801:ERROR:exception_snapshot_win.cc(98)] thread ID 12088 not found in process
[0328/000949.821:ERROR:process_reader_win.cc(123)] NtOpenThread: {无法访问} 过程已请求访问一对象，但未给访问权限。 (0xc0000022)
[0328/000949.821:ERROR:exception_snapshot_win.cc(98)] thread ID 1464 not found in process
[0328/211012.244:ERROR:process_reader_win.cc(123)] NtOpenThread: {无法访问} 过程已请求访问一对象，但未给访问权限。 (0xc0000022)
[0328/211012.245:ERROR:exception_snapshot_win.cc(98)] thread ID 9588 not found in process
[0328/211012.264:ERROR:process_reader_win.cc(123)] NtOpenThread: {无法访问} 过程已请求访问一对象，但未给访问权限。 (0xc0000022)
[0328/211012.265:ERROR:exception_snapshot_win.cc(98)] thread ID 1356 not found in process
[0426/215412.721:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0426/215412.846:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0426/215412.846:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0426/215412.846:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0426/215412.846:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0426/215412.847:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0426/215412.847:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0426/215412.847:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0426/215413.602:WARNING:stun_port.cc(426)] Port[d6e9c38:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0426/215542.751:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0426/215542.752:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0426/215542.752:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0426/215542.752:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0426/215542.752:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0426/215542.752:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0426/215542.752:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0426/215542.752:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0426/215542.830:WARNING:stun_port.cc(426)] Port[54afc08:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0426/215651.672:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0426/215651.672:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0426/215651.672:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0426/215651.672:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0426/215651.672:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
